Stim1,Word_PTAN,Word_PTAF,Word_OTAN,Word_OTAF,Mismatch Stim 2,PTAN,PTAF,OTAN,OTAF,Position,Notes,Pseudoword1,Pseudoword_PTAN,Pseudoword_PTAF,Pseudoword_OTAN,Pseudoword_OTAF,PTAF_RelDiff_Pct,Pseudoword2,Pseudoword2_EditDistance,Pseudoword2_PTAN,Pseudoword2_PTAF,Pseudoword2_OTAN,Pseudoword2_OTAF,Pseudoword2_vs_Pseudoword_PTAF_RelDiff_Pct,Status2
dolphin,1,3.9608,1,3.9608,,,,,,,,dorphan,2,4.4608,1,5.7451,12.62,porphan,1,2,5.0392,1,5.7451,12.97,MATCHED
mansion,2,30.0882,1,0.70588,,,,,,,,hension,3,24.2876,2,6.696,19.28,yension,1,3,24.2876,2,6.696,0,MATCHED
biscuit,1,3.2745,1,3.2745,,,,,,,,hircuit,2,3.9216,1,6.6667,19.76,kircuit,1,1,6.6667,1,6.6667,70,MATCHED
koala,1,5.5294,0,0,,,,,,,,kuano,13,3.724,1,0.3922,32.65,buano,1,7,7.9664,1,0.3922,113.92,MATCHED
cigar,1,6.6667,1,6.6667,,,,,,,,bicar,18,6.4978,1,1.4706,2.53,gicar,1,10,2.7392,1,1.4706,57.84,MATCHED
nylon,2,0.89216,2,0.89216,pylon,2,0.85292,2,0.85292,start,,nison,2,0.9608,2,2.3627,7.69,xison,1,2,0.9608,0,0,0,MATCHED
mango,3,2.183,3,2.5686,mangy,2,8.8137,4,94.6765,end,,matso,2,2.1765,3,1.7713,0.3,natso,1,3,3.6601,1,3.1569,68.17,MATCHED
dagger,5,1.5529,3,16.5556,danger,4,2.8578,9,6.0131,middle,,vagged,3,1.5294,5,1.3451,1.51,vagger,1,3,2.1961,1,4.9216,43.59,MATCHED
bonnet,1,0.76471,2,0.58824,sonnet,3,1.3137,2,1.1666,start,,donset,1,0.8431,1,0.8431,10.26,vonset,1,1,0.8431,1,0.8431,0,MATCHED
violin,1,1.0588,1,1.0588,,,,,,,,tyodin,1,1.2157,0,0,14.82,tsodin,1,0,0,0,0,100,MATCHED
pellet,3,0.6732,2,0.53921,,,,,,,2 changes,callet,3,0.5817,6,63.0882,13.59,yallet,1,2,0.549,4,8.5392,5.62,MATCHED
lobster,2,1.4902,2,1.4902,mobster,2,23.098,2,23.098,start,,tobbler,2,1.5588,1,2.3333,4.6,sobbler,1,1,2.3333,1,2.3333,49.69,MATCHED
trumpet,2,0.66667,2,0.66667,,,,,,,,trunket,1,0.7059,1,0.7059,5.88,drunket,1,0,0,2,3.353,100,MATCHED
kitten,8,16.8088,3,1.915,mitten,9,11.8824,4,2.6618,start,,kidden,5,17.4824,3,8.0915,4.01,sidden,1,4,14.3137,3,18.9608,18.12,MATCHED
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Stim1 REAL WORDS ↔ Stim1 PSEUDOWORDS,,,,,,REAL-WORD Stim2 mismatches ↔ PSEUDOWORD Stim2 mismatches,,,,,,,,,,,,,,,
,,,,WORD1,PTAF,OTAF,PTAN,OTAN,,WORD2 (mismatching),PTAF,OTAF,PTAN,OTAN,,,,,,,,,,,
,,,,words,23.9804888,50.5272808,6.44,4.24,,words,,,,,,,,,,,,,,,
,,,,pseudowords,15.098206,7.5818,4.44,1.5,,pseudowords,,,,,,,,,,,,,,,
,,,,P-value of T-test,0.4394439877,0.0003467437871,0.2282661804,0.0000003536101564,,P-value of T-test,,,,,,,,,,,,,,,
