Word,Length (Ortho),Word_PTAN,Word_PTAF,Word_OTAN,Word_OTAF,Pseudoword,Consonant_Pseudoword,Pseudoword_PTAN,Pseudoword_PTAF,Pseudoword_OTAN,Pseudoword_OTAF,PTAF_RelDiff_Pct,OTAN_Diff,OTAF_RelDiff_Pct,Status,Method
village,7,1,0.60784,2,1.5098,vellays,bqdtmsp,1,0.6078,0,0.0,0.0,-2,100.0,MATCHED,wuggy
diamond,7,1,17.0392,1,17.0392,dievond,vwqqjdc,1,17.0392,0,0.0,0.0,-1,100.0,MATCHED,wuggy
theater,7,2,1.1667,3,2.2222,gairvow,wgljrpx,6,61.6078,0,0.0,5180.52,-3,100.0,BEST_AVAILABLE,existing
kitchen,7,2,2.7255,1,0.72549,kinched,mkrtyjx,2,3.2353,1,2.7059,18.71,0,272.98,MATCHED,existing
mustard,7,3,1.3725,1,1.2549,mostate,zzdkvwb,0,0.0,0,0.0,100.0,-1,100.0,BEST_AVAILABLE,existing
cartoon,7,2,2.3529,2,2.3529,surtoon,lttpglc,1,3.7647,0,0.0,60.0,-2,100.0,BEST_AVAILABLE,wuggy
surface,7,2,2.6765,2,0.78431,surfole,jlwqlhj,2,5.3529,0,0.0,100.0,-2,100.0,BEST_AVAILABLE,existing
network,7,1,2.1176,1,2.1176,nedworn,smfwqzp,1,2.1176,0,0.0,0.0,-1,100.0,MATCHED,existing
dolphin,7,1,3.9608,1,3.9608,pelphin,rlqyzrm,1,2.7647,0,0.0,30.2,-1,100.0,BEST_AVAILABLE,existing
elephant,8,3,5.7582,1,4.3725,emephite,cwllcblz,3,17.2745,0,0.0,200.0,-1,100.0,BEST_AVAILABLE,wuggy
festival,8,2,1.3137,1,0.70588,fellipal,tsshfqcq,2,2.6275,0,0.0,100.01,-1,100.0,BEST_AVAILABLE,existing
perfume,7,2,0.61765,2,0.61765,perpame,npdcmfr,2,1.2353,0,0.0,100.0,-2,100.0,BEST_AVAILABLE,wuggy
mansion,7,2,30.0882,1,0.70588,pantion,jrtqpgk,3,31.0588,0,0.0,3.23,-1,100.0,MATCHED,wuggy
biscuit,7,1,3.2745,1,3.2745,cisbuit,zhhnpvj,1,3.7451,0,0.0,14.37,-1,100.0,MATCHED,existing
monument,8,1,0.90196,1,0.90196,menucant,zbvpxfsy,1,0.902,0,0.0,0.0,-1,100.0,MATCHED,existing
koala,5,1,5.5294,0,0.0,kaate,sdyzd,1,5.5294,1,7.5686,0.0,1,0.0,MATCHED,wuggy
cigar,5,1,6.6667,1,6.6667,cisor,wccvt,5,5.5882,1,0.5882,16.18,0,91.18,MATCHED,wuggy
nylon,5,2,0.89216,2,0.89216,nukon,zrnhq,1,0.451,1,0.451,49.45,-1,49.45,BEST_AVAILABLE,wuggy
cloth,5,5,2.4784,5,1.0235,clonx,zrxgt,1,2.8431,1,2.5098,14.72,-4,145.22,MATCHED,wuggy
tulip,5,1,1.1373,1,1.1373,tutim,tcwfg,2,1.1569,0,0.0,1.72,-1,100.0,MATCHED,wuggy
flame,5,9,14.2331,7,15.1289,flard,crdzb,7,14.4511,2,2.951,1.53,-5,80.49,MATCHED,wuggy
mango,5,3,2.183,3,2.5686,ranjo,vtpqv,2,2.3922,1,1.6275,9.58,-2,36.64,MATCHED,wuggy
dagger,5,5,1.5529,3,16.5556,dorger,rdvkq,2,1.8823,2,0.9412,21.21,-1,94.32,BEST_AVAILABLE,wuggy
bonnet,5,1,0.76471,2,0.58824,bendet,nxlwc,1,0.7647,2,2.3039,0.0,0,291.67,MATCHED,wuggy
brush,5,6,9.0131,5,13.0824,snush,jsqwg,5,9.0001,2,1.5981,0.14,-3,87.78,MATCHED,wuggy
token,5,3,47.0784,4,35.5098,losen,vvfdq,3,48.9608,5,41.5608,4.0,1,17.04,MATCHED,wuggy
model,5,10,11.4412,5,6.8196,hudel,zqlnw,6,11.1961,0,0.0,2.14,-5,100.0,MATCHED,wuggy
parlor,5,6,4.6046,1,0.52941,ganow,npqyv,4,4.6079,0,0.0,0.07,-1,100.0,MATCHED,fallback
fiber,5,5,46.7059,4,1.4902,fayzhth,wmrdb,1,46.3333,0,0.0,0.8,-4,100.0,MATCHED,fallback
violin,5,1,1.0588,1,1.0588,vionad,lvfqd,1,1.0588,0,0.0,0.0,-1,100.0,MATCHED,wuggy
pellet,5,3,0.6732,2,0.53921,rillet,vkqxj,2,0.9412,2,0.4706,39.81,0,12.73,BEST_AVAILABLE,wuggy
lobster,7,2,1.4902,2,1.4902,loppler,yynshcj,1,0.8235,1,0.8235,44.74,-1,44.74,BEST_AVAILABLE,wuggy
trumpet,7,2,0.66667,2,0.66667,chimpet,twcltzh,1,0.902,0,0.0,35.29,-2,100.0,BEST_AVAILABLE,wuggy
