Word,Length (Ortho),Word_PTAN,Word_PTAF,Word_OTAN,Word_OTAF,Pseudoword,Pseudoword_PTAN,Pseudoword_PTAF,Pseudoword_OTAN,Pseudoword_OTAF,PTAF_RelDiff_Pct,OTAN_Diff,OTAF_RelDiff_Pct,Status,Method
koala,5,1,5.5294,0,0.0,kaate,1,5.5294,1,7.5686,0.0,1,0.0,MATCHED,wuggy
cigar,5,1,6.6667,1,6.6667,cisor,5,5.5882,1,0.5882,16.18,0,91.18,MATCHED,wuggy
nylon,5,2,0.89216,2,0.89216,nukon,1,0.451,1,0.451,49.45,-1,49.45,BEST_AVAILABLE,wuggy
cloth,5,5,2.4784,5,1.0235,clonx,1,2.8431,1,2.5098,14.72,-4,145.22,MATCHED,wuggy
tulip,5,1,1.1373,1,1.1373,tutim,2,1.1569,0,0.0,1.72,-1,100.0,MATCHED,wuggy
flame,5,9,14.2331,7,15.1289,flard,7,14.4511,2,2.951,1.53,-5,80.49,MATCHED,wuggy
mango,5,3,2.183,3,2.5686,ranjo,2,2.3922,1,1.6275,9.58,-2,36.64,MATCHED,wuggy
dagger,5,5,1.5529,3,16.5556,dorger,2,1.8823,2,0.9412,21.21,-1,94.32,BEST_AVAILABLE,wuggy
bonnet,5,1,0.76471,2,0.58824,bendet,1,0.7647,2,2.3039,0.0,0,291.67,MATCHED,wuggy
brush,5,6,9.0131,5,13.0824,snush,5,9.0001,2,1.5981,0.14,-3,87.78,MATCHED,wuggy
token,5,3,47.0784,4,35.5098,losen,3,48.9608,5,41.5608,4.0,1,17.04,MATCHED,wuggy
model,5,10,11.4412,5,6.8196,povel,3,11.7843,2,5.2745,3.0,-3,22.66,MATCHED,wuggy
parlor,5,6,4.6046,1,0.52941,goonv,2,4.6274,2,2.3137,0.5,1,337.03,MATCHED,fallback
fiber,5,5,46.7059,4,1.4902,nighoof,1,46.8039,0,0.0,0.21,-4,100.0,MATCHED,fallback
violin,5,1,1.0588,1,1.0588,vionad,1,1.0588,0,0.0,0.0,-1,100.0,MATCHED,wuggy
pellet,5,3,0.6732,2,0.53921,rillet,2,0.9412,2,0.4706,39.81,0,12.73,BEST_AVAILABLE,wuggy
