Word,Length (Ortho),Word_PTAN,Word_PTAF,Word_OTAN,Word_OTAF,Pseudoword,Pseudoword Length (Ortho),Consonant_Pseudoword,Consonant_Pseudoword Length (Ortho),Pseudoword_PTAN,Pseudoword_PTAF,Pseudoword_OTAN,Pseudoword_OTAF,PTAF_RelDiff_Pct,OTAN_Diff,OTAF_RelDiff_Pct,Status,Method,Pseudoword2,Pseudoword2_EditDistance,Pseudoword2_PTAN,Pseudoword2_PTAF,Pseudoword2_OTAN,Pseudoword2_OTAF,Pseudoword2_vs_Pseudoword_PTAF_RelDiff_Pct,Status2
napkin,6,1,2.5686,1,2.5686,napron,6,drkgbp,6,1,2.6667,1,2.6667,3.82,0,3.82,MATCHED,wuggy,hapron,1,1,2.6667,1,2.6667,0.0,MATCHED
manual,6,2,3.902,1,0.60784,pequal,6,mcwqpm,6,2,7.5686,1,13.3725,93.97,0,2100,BEST_AVAILABLE,wuggy,lequal,1,2,7.5686,1,13.3725,0.0,MATCHED
lizard,6,6,2.5229,2,5.951,ticard,6,ygyncx,6,2,1.7549,1,1.5294,30.44,-1,74.3,BEST_AVAILABLE,wuggy,hicard,1,1,1.5294,1,1.5294,12.85,MATCHED
blanket,7,1,5.098,1,5.098,blandit,7,jqjhbrq,7,1,3.7451,1,3.7451,26.54,0,26.54,BEST_AVAILABLE,wuggy,clandit,1,0,0.0,0,0.0,100.0,MATCHED
monster,7,4,6.2892,3,4.0131,mandler,7,xrcvcwd,7,3,6.0262,2,1.6863,4.18,-1,57.98,MATCHED,wuggy,yandler,1,3,6.0262,2,1.6863,0.0,MATCHED
picture,7,4,18.6618,2,35.402,mecture,7,khbjrqb,7,1,10.4706,1,10.4706,43.89,-1,70.42,BEST_AVAILABLE,wuggy,secture,1,2,8.7647,2,17.4019,16.29,MATCHED
machine,7,1,13.8627,1,13.8627,mawhile,7,svmzdjv,7,1,9.4706,1,9.4706,31.68,0,31.68,BEST_AVAILABLE,wuggy,jawhile,1,1,9.4706,1,9.4706,0.0,MATCHED
village,7,1,0.60784,2,1.5098,vollard,7,mzfkvck,7,1,0.7451,1,0.7451,22.58,-1,50.65,BEST_AVAILABLE,wuggy,lollard,1,1,0.7451,1,0.7451,0.0,MATCHED
kitchen,7,2,2.7255,1,0.72549,gitcher,7,gfdzxwj,7,3,2.7582,1,3.2353,1.2,0,345.95,MATCHED,wuggy,litcher,1,5,8.5255,1,3.2353,209.1,MATCHED
mustard,7,3,1.3725,1,1.2549,mestart,7,rmyhrfh,7,1,0.5882,1,0.5882,57.14,0,53.12,BEST_AVAILABLE,wuggy,destart,1,2,0.4902,1,0.5882,16.66,MATCHED
cartoon,7,2,2.3529,2,2.3529,bartian,7,dthfsyp,7,3,2.2484,1,1.7255,4.44,-1,26.66,MATCHED,wuggy,wartian,1,1,1.7255,1,1.7255,23.26,MATCHED
network,7,1,2.1176,1,2.1176,netroit,7,mvfprsz,7,1,10.549,1,10.549,398.16,0,398.16,BEST_AVAILABLE,wuggy,vetroit,1,1,10.549,1,10.549,0.0,MATCHED
dolphin,7,1,3.9608,1,3.9608,dorphan,7,gdxwpsp,7,2,4.4608,1,5.7451,12.62,0,45.05,MATCHED,wuggy,porphan,1,2,5.0392,1,5.7451,12.97,MATCHED
mansion,7,2,30.0882,1,0.70588,hension,7,gtrzxmc,7,3,24.2876,2,6.696,19.28,1,848.61,MATCHED,wuggy,yension,1,3,24.2876,2,6.696,0.0,MATCHED
biscuit,7,1,3.2745,1,3.2745,hircuit,7,xqpkbcj,7,2,3.9216,1,6.6667,19.76,0,103.59,MATCHED,wuggy,kircuit,1,1,6.6667,1,6.6667,70.0,MATCHED
koala,5,1,5.5294,0,0,kuano,5,yzxby,5,13,3.724,1,0.3922,32.65,1,0,BEST_AVAILABLE,wuggy,buano,1,7,7.9664,1,0.3922,113.92,MATCHED
cigar,5,1,6.6667,1,6.6667,bicar,5,cwxbz,5,18,6.4978,1,1.4706,2.53,0,77.94,MATCHED,wuggy,gicar,1,10,2.7392,1,1.4706,57.84,MATCHED
nylon,5,2,0.89216,2,0.89216,nison,5,gyvks,5,2,0.9608,2,2.3627,7.69,0,164.83,MATCHED,wuggy,xison,1,2,0.9608,0,0.0,0.0,MATCHED
mango,5,3,2.183,3,2.5686,matso,5,nvydn,5,2,2.1765,3,1.7713,0.3,0,31.04,MATCHED,wuggy,natso,1,3,3.6601,1,3.1569,68.17,MATCHED
dagger,5,5,1.5529,3,16.5556,vagged,5,kqsfc,5,3,1.5294,5,1.3451,1.51,2,91.88,MATCHED,wuggy,vagger,1,3,2.1961,1,4.9216,43.59,MATCHED
bonnet,5,1,0.76471,2,0.58824,donset,5,cyvds,5,1,0.8431,1,0.8431,10.26,-1,43.33,MATCHED,wuggy,vonset,1,1,0.8431,1,0.8431,0.0,MATCHED
violin,5,1,1.0588,1,1.0588,tyodin,5,hbzmt,5,1,1.2157,0,0,14.82,-1,100,MATCHED,wuggy,tsodin,1,0,0.0,0,0.0,100.0,MATCHED
pellet,5,3,0.6732,2,0.53921,callet,5,hkdfx,5,3,0.5817,6,63.0882,13.59,4,11600.12,MATCHED,wuggy,yallet,1,2,0.549,4,8.5392,5.62,MATCHED
lobster,7,2,1.4902,2,1.4902,tobbler,7,lpdwzwv,7,2,1.5588,1,2.3333,4.6,-1,56.58,MATCHED,wuggy,sobbler,1,1,2.3333,1,2.3333,49.69,MATCHED
trumpet,7,2,0.66667,2,0.66667,trunket,7,vybwnpw,7,1,0.7059,1,0.7059,5.88,-1,5.88,MATCHED,wuggy,drunket,1,0,0.0,2,3.353,100.0,MATCHED
kitten,6,8,16.8088,3,1.915,kidden,6,fnstsp,6,5,17.4824,3,8.0915,4.01,0,322.53,MATCHED,wuggy,sidden,1,4,14.3137,3,18.9608,18.12,MATCHED
